Sr No,,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069
22,SPOUSE_LIF_WITHDRAWAL,1036,1228,1102,987,884,789,703,625,553,489,429,376,328,283,243,208,175,146,119,95,74,54,37,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,TFSA_WITHDRAWAL,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,SPOUSE_TFSA_WITHDRAWAL,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,SALE_OF_HOME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,PERMANENT_LIFE_INSURANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000
27,total_funds_in,68893,22042,33929,47271,63501,53392,42909,10207,10134,10076,18050,18082,18124,18177,18244,18319,21713,18500,18607,18718,18841,18970,19109,19254,19404,119574,9355,9443,9534,9627,9725,1084832,9930,10038,10148,10265,10387,10511,10639,10770,10904,11042,11183,11328,11476,131627
28,TAX,1132,0,0,2102,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,SPOUSE_TAX,803,0,1688,1683,4779,4856,5432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,ANNUAL_RETIREMENT_EXPENSES,22000,22550,23114,23692,24284,24891,25513,26151,26805,27475,28162,28866,29588,30327,31085,31863,32659,33476,34312,35170,36050,36951,37875,38821,39792,40787,41806,42852,43923,45021,46146,47300,48483,49695,50937,52211,53516,54854,56225,57631,59071,60548,62062,63613,65204,66834
31,HEALTH_CARE_EXPENSES,11000,11275,11557,11846,12142,12445,12757,13076,13402,13737,14081,14433,14794,15164,15543,15931,16330,16738,17156,17585,18025,18475,18937,19411,19896,20393,20903,21426,21961,22510,23073,23650,24241,24847,25469,26105,26758,27427,28113,28815,29536,30274,31031,31807,32602,33417
32,ONE_OFF_EXPENSES,0,0,0,0,0,0,0,0,0,0,0,13121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,CHARITABLE_DONATIONS,450,461,473,485,497,509,522,535,548,562,576,590,605,620,636,652,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SPOUSE_ANNUAL_RETIREMENT_EXPENSES,23000,23575,24164,24768,25388,26022,26673,27340,28023,28724,29442,30178,30932,31706,32498,33311,34144,34997,35872,36769,37688,38630,39596,40586,41601,42641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,SPOUSE_HEALTH_CARE_EXPENSES,10500,10762,11032,11307,11590,11880,12177,12481,12793,13113,13441,13777,14121,14474,14836,15207,15587,15977,16376,16786,17205,17636,18076,18528,18992,19466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,SPOUSE_ONE_OFF_EXPENSES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,SPOUSE_CHARITABLE_DONATIONS,0,512,525,538,552,566,580,594,609,624,640,656,672,689,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,total_funds_out,68885,69135,72553,76421,81377,81169,83654,80177,82180,84235,86342,101621,90712,92980,95304,96964,105326,101188,103716,106310,108968,111692,114484,117346,120281,123287,62709,64278,65884,67531,69219,70950,72724,74542,76406,78316,80274,82281,84338,86446,88607,90822,93093,95420,97806,100251
39,net_funds_in,8,-47093,-38624,-29150,-17876,-27777,-40745,-69970,-72046,-74159,-68292,-83539,-72588,-74803,-77060,-78645,-83613,-82688,-85109,-87592,-90127,-92722,-95375,-98092,-100877,-3713,-53354,-54835,-56350,-57904,-59494,1013882,-62794,-64504,-66258,-68051,-69887,-71770,-73699,-75676,-77703,-79780,-81910,-84092,-86330,31376
40,NON_REGISTERED_ASSET,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,NON_REGISTERED_BOOK_VALUE,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,SPOUSE_NON_REGISTERED_ASSET,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,SPOUSE_NON_REGISTERED_BOOK_VALUE,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,RRSP,2000,2060,2122,2186,2252,2320,2390,2462,2536,2612,2690,2770,2854,2940,3028,3118,3212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,SPOUSE_RRSP,2000,2060,2122,2186,2252,2320,2390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,RRIF,3000,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,SPOUSE_RRIF,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,LIRA,4000,4120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,SPOUSE_LIRA,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,LIF,5000,5150,8030,7210,6464,5787,5173,4615,4107,3648,3233,2855,2516,2209,1933,1684,1461,1261,1083,923,782,657,547,449,365,290,227,173,129,92,61,38,21,9,2,0,0,0,0,0,0,0,0,0,0,0
51,SPOUSE_LIF,5000,8234,7254,6370,5575,4858,4215,3639,3124,2665,2256,1895,1575,1295,1050,839,657,502,373,266,179,111,61,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,TFSA,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,SPOUSE_TFSA,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,HOME,500000,512500,525312,538445,551906,565704,579847,594343,609202,624432,640043,656044,672445,689256,706487,724149,742253,760809,779829,799325,819308,839791,860786,882306,904364,926973,950147,973901,998249,1023205,1048785,1075005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,CLEARING,0,8,-47085,-85709,-114859,-132735,-160513,-201258,-271229,-343275,-417435,-485726,-569265,-641853,-716656,-793716,-872361,-955975,-1038663,-1123772,-1211364,-1301491,-1394212,-1489588,-1587680,-1688556,-1692270,-1745624,-1800458,-1856808,-1914712,-1974206,-960324,-1023118,-1087622,-1153880,-1221931,-1291818,-1363588,-1437287,-1512963,-1590666,-1670446,-1752356,-1836448,-1891402
56,total_assets,580000,534565,497755,470688,453590,448254,433502,403801,347740,290082,230787,177838,110125,53847,-4158,-63926,-124778,-193403,-257378,-323258,-391095,-460932,-532818,-606807,-682945,-761293,-741896,-771550,-802080,-833511,-865866,-899163,-960303,-1023109,-1087620,-1153880,-1221931,-1291818,-1363588,-1437287,-1512963,-1590666,-1670446,-1752356,-1836448,-1891402
