Sr No,,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065
14,SPOUSE_NON_REGISTERED_DIVIDEND,900,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,SALE_OF_NON_REGISTERED_ASSET,30701,10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,SPOUSE_SALE_OF_NON_REGISTERED_ASSET,32153,29178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,RRIF_WITHDRAWAL,0,3182,0,0,0,0,0,0,0,0,0,0,0,3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,SPOUSE_RRIF_WITHDRAWAL,0,2132,1082,0,0,0,0,0,2612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,LIF_WITHDRAWAL,0,1561,1088,985,891,804,726,653,588,528,473,423,378,336,299,264,234,205,180,156,135,116,99,84,70,57,46,35,26,17,9,3,0,0,0,0,0,0,0,0,0,0,0
20,SPOUSE_LIF_WITHDRAWAL,0,0,1744,1206,1083,970,868,775,690,614,543,480,422,369,322,278,239,203,171,142,116,92,72,53,36,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,TFSA_WITHDRAWAL,0,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,SPOUSE_TFSA_WITHDRAWAL,94,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,SALE_OF_HOME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773487,0,0,0,0,0,0,0,0,0,0,0,0,0
24,PERMANENT_LIFE_INSURANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,100000
25,total_funds_in,73673,78600,57523,57032,33981,70371,71769,61726,27190,24979,47997,48964,49966,29840,27328,27863,28422,28999,29600,30220,30862,31524,32206,32909,33631,34374,35139,35927,36745,911067,20187,20645,21117,21602,22099,22607,23127,23659,24203,24760,25329,25912,126508
26,TAX,0,3208,1620,1640,1662,8876,9069,6964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,SPOUSE_TAX,1609,1747,4271,4040,0,0,0,0,0,0,3621,3698,3779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,ANNUAL_RETIREMENT_EXPENSES,25000,25575,26163,26765,27381,28010,28655,29314,29988,30678,31383,32105,32843,33599,34372,35162,35971,36798,37644,38510,39396,40302,41229,42177,43147,44140,45155,46194,47256,48343,49455,50592,51756,52946,54164,55410,56684,57988,59322,60686,62082,63510,64971
29,HEALTH_CARE_EXPENSES,11000,11253,11512,11777,12047,12325,12608,12898,13195,13498,13809,14126,14451,14783,15123,15471,15827,16191,16564,16945,17334,17733,18141,18558,18985,19422,19868,20325,20793,21271,21760,22261,22773,23296,23832,24380,24941,25515,26102,26702,27316,27944,28587
30,ONE_OFF_EXPENSES,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CHARITABLE_DONATIONS,0,0,523,535,548,560,573,586,600,614,628,642,657,672,687,703,719,736,753,770,788,806,825,844,863,883,903,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,SPOUSE_ANNUAL_RETIREMENT_EXPENSES,25000,25575,26163,26765,27381,28010,28655,29314,29988,30678,31383,32105,32843,33599,34372,35162,35971,36798,37644,38510,39396,40302,41229,42177,43147,44140,45155,46194,47256,48343,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SPOUSE_HEALTH_CARE_EXPENSES,11000,11253,11512,11777,12047,12325,12608,12898,13195,13498,13809,14126,14451,14783,15123,15471,15827,16191,16564,16945,17334,17733,18141,18558,18985,19422,19868,20325,20793,21271,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SPOUSE_ONE_OFF_EXPENSES,0,0,0,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,SPOUSE_CHARITABLE_DONATIONS,0,0,785,803,821,840,860,879,900,920,941,963,985,1008,1031,1055,1079,1104,1129,1155,1182,1209,1237,1265,1294,1324,1355,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,total_funds_out,73609,78611,83596,85173,81887,90946,93028,92853,87866,89886,95574,97765,100009,98444,100708,103024,105394,107818,110298,112835,115430,118085,120802,123579,126421,129331,132304,135348,136098,139228,71215,72853,74529,76242,77996,79790,81625,83503,85424,87388,89398,91454,93558
37,net_funds_in,64,-11,-26073,-28141,-47906,-20575,-21259,-31127,-60676,-64907,-47577,-48801,-50043,-68604,-73380,-75161,-76972,-78819,-80698,-82615,-84568,-86561,-88596,-90670,-92790,-94957,-97165,-99421,-99353,771839,-51028,-52208,-53412,-54640,-55897,-57183,-58498,-59844,-61221,-62628,-64069,-65542,32950
38,NON_REGISTERED_ASSET,40000,9899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,NON_REGISTERED_BOOK_VALUE,10000,2438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,SPOUSE_NON_REGISTERED_ASSET,60000,28747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,SPOUSE_NON_REGISTERED_BOOK_VALUE,20000,9441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,RRSP,2000,2060,2122,2186,2252,2320,2390,2462,2536,2612,2690,2770,2854,2940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,SPOUSE_RRSP,2000,2060,2122,2186,2252,2320,2390,2462,2536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,RRIF,3000,3090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,SPOUSE_RRIF,3000,3090,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,LIRA,4000,4120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,SPOUSE_LIRA,4000,4120,4244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,LIF,5000,5150,7987,7138,6367,5668,5034,4461,3941,3472,3048,2668,2325,2017,1741,1494,1274,1078,905,753,619,502,401,314,240,179,128,86,53,29,12,3,0,0,0,0,0,0,0,0,0,0,0
49,SPOUSE_LIF,5000,5150,5304,8092,7128,6259,5477,4772,4141,3575,3069,2618,2216,1860,1547,1271,1031,823,643,492,364,258,174,108,59,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,TFSA,1000,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,SPOUSE_TFSA,1000,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,HOME,400000,409200,418612,428240,438090,448166,458474,469019,479806,490842,502131,513680,525495,537581,549945,562594,575534,588771,602313,616166,630338,644836,659667,674839,690360,706238,722481,739098,756097,773487,0,0,0,0,0,0,0,0,0,0,0,0,0
53,CLEARING,0,63,52,-26020,-54160,-102065,-122640,-143899,-175026,-235702,-300610,-348187,-396988,-447032,-515635,-589016,-664176,-741149,-819968,-900666,-983280,-1067848,-1154408,-1243005,-1333675,-1426466,-1521423,-1618588,-1718009,-1817362,-1045523,-1096551,-1148759,-1202171,-1256811,-1312708,-1369891,-1428389,-1488233,-1549454,-1612082,-1676151,-1708743
54,total_assets,530000,478715,441493,421822,401929,362668,351125,339277,317934,264799,210328,173549,135902,97366,37598,-23657,-86337,-150477,-216107,-283255,-351959,-422252,-494166,-567744,-643016,-720023,-798808,-879404,-961859,-1043846,-1045511,-1096548,-1148759,-1202171,-1256811,-1312708,-1369891,-1428389,-1488233,-1549454,-1612082,-1676151,-1708743
