Sr No,,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
22,SPOUSE_LIF_WITHDRAWAL,0,1380,1241,1112,995,888,791,703,623,550,483,423,369,319,274,233,197,163,133,106,82,60,40,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,TFSA_WITHDRAWAL,0,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,SPOUSE_TFSA_WITHDRAWAL,0,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,SALE_OF_HOME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,PERMANENT_LIFE_INSURANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000
27,total_funds_in,71203,57983,19698,41320,58524,56232,34249,8489,8399,8324,10564,17573,17593,17625,17667,17720,21095,17857,17941,18031,18131,18238,18352,18474,18603,118746,10480,984457,10634,10715,10801,10889,10979,11073,11169,11272,11379,11488,11601,11716,11833,11954,12078,12205,12335,112468
28,TAX,0,0,0,0,2909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,SPOUSE_TAX,1132,1707,0,3189,3036,5797,3611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,ANNUAL_RETIREMENT_EXPENSES,22000,22550,23114,23692,24284,24891,25513,26151,26805,27475,28162,28866,29588,30327,31085,31863,32659,33476,34312,35170,36050,36951,37875,38821,39792,40787,41806,42852,43923,45021,46146,47300,48483,49695,50937,52211,53516,54854,56225,57631,59071,60548,62062,63613,65204,66834
31,HEALTH_CARE_EXPENSES,11000,11275,11557,11846,12142,12445,12757,13076,13402,13737,14081,14433,14794,15164,15543,15931,16330,16738,17156,17585,18025,18475,18937,19411,19896,20393,20903,21426,21961,22510,23073,23650,24241,24847,25469,26105,26758,27427,28113,28815,29536,30274,31031,31807,32602,33417
32,ONE_OFF_EXPENSES,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,CHARITABLE_DONATIONS,0,769,788,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SPOUSE_ANNUAL_RETIREMENT_EXPENSES,23000,23575,24164,24768,25388,26022,26673,27340,28023,28724,29442,30178,30932,31706,32498,33311,34144,34997,35872,36769,37688,38630,39596,40586,41601,42641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,SPOUSE_HEALTH_CARE_EXPENSES,14000,14350,14709,15076,15453,15840,16236,16642,17058,17484,17921,18369,18828,19299,19782,20276,20783,21303,21835,22381,22941,23514,24102,24705,25322,25955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,SPOUSE_ONE_OFF_EXPENSES,0,0,0,1508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,SPOUSE_CHARITABLE_DONATIONS,0,0,0,0,955,979,1003,1028,1054,1080,1107,1135,1163,1192,1222,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,total_funds_out,71132,74226,75593,80887,84167,85974,85793,84237,86342,88500,90713,92981,95305,97688,100130,102634,103916,106514,109175,111905,114704,117570,120510,123523,126611,129776,62709,64278,65884,67531,69219,70950,72724,74542,76406,78316,80274,82281,84338,86446,88607,90822,93093,95420,97806,100251
39,net_funds_in,71,-16243,-55895,-39567,-25643,-29742,-51544,-75748,-77943,-80176,-80149,-75408,-77712,-80063,-82463,-84914,-82821,-88657,-91234,-93874,-96573,-99332,-102158,-105049,-108008,-11030,-52229,920179,-55250,-56816,-58418,-60061,-61745,-63469,-65237,-67044,-68895,-70793,-72737,-74730,-76774,-78868,-81015,-83215,-85471,12217
40,NON_REGISTERED_ASSET,40000,9747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,NON_REGISTERED_BOOK_VALUE,10000,2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,SPOUSE_NON_REGISTERED_ASSET,60000,28970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,SPOUSE_NON_REGISTERED_BOOK_VALUE,20000,9514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,RRSP,2000,2060,2122,2186,2252,2320,2390,2462,2536,2612,2690,2770,2854,2940,3028,3118,3212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,SPOUSE_RRSP,2000,2060,2122,2186,2252,2320,2390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,RRIF,3000,3090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,SPOUSE_RRIF,3000,2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,LIRA,4000,4120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,SPOUSE_LIRA,4000,4120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,LIF,5000,5150,8030,7210,6464,5787,5173,4615,4107,3648,3233,2855,2516,2209,1933,1684,1461,1261,1083,923,782,657,547,449,365,290,227,173,129,92,61,38,21,9,2,0,0,0,0,0,0,0,0,0,0,0
51,SPOUSE_LIF,5000,5150,8168,7173,6277,5470,4745,4096,3516,2999,2539,2132,1773,1458,1183,945,739,565,418,297,199,123,68,29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,TFSA,1000,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,SPOUSE_TFSA,1000,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,HOME,500000,512500,525312,538445,551906,565704,579847,594343,609202,624432,640043,656044,672445,689256,706487,724149,742253,760809,779829,799325,819308,839791,860786,882306,904364,926973,950147,973901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,CLEARING,0,72,-16171,-72065,-111633,-137275,-167017,-218561,-294310,-372253,-452429,-532578,-607986,-685698,-765761,-848224,-933137,-1015959,-1104616,-1195850,-1289724,-1386298,-1485629,-1587787,-1692836,-1800843,-1811874,-1864103,-943924,-999174,-1055989,-1114407,-1174468,-1236213,-1299682,-1364919,-1431963,-1500858,-1571651,-1644388,-1719118,-1795892,-1874760,-1955775,-2038990,-2112244
56,total_assets,630000,582069,529583,485135,457518,444326,427528,386955,325051,261438,196076,131223,71602,10165,-53130,-118328,-185472,-253324,-323286,-395305,-469435,-545727,-624228,-705003,-788100,-873580,-861500,-890029,-943795,-999082,-1055928,-1114369,-1174447,-1236204,-1299680,-1364919,-1431963,-1500858,-1571651,-1644388,-1719118,-1795892,-1874760,-1955775,-2038990,-2112244
