Sr No,,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
23,SPOUSE_ANNUAL_RETIREMENT_EXPENSES,10,10,11,11,11,11,12,12,12,12,13,13,13,14,14,14,15,15,16,16,16,17,17,18,18,19,19,19,20,20,21,22,22,23,23,24,0,0,0,0,0,0,0,0,0,0
24,SPOUSE_HEALTH_CARE_EXPENSES,10,10,11,11,11,11,12,12,12,12,13,13,13,14,14,14,15,15,16,16,16,17,17,18,18,19,19,19,20,20,21,22,22,23,23,24,0,0,0,0,0,0,0,0,0,0
25,SPOUSE_ONE_OFF_EXPENSES,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,SPOUSE_CHARITABLE_DONATIONS,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,total_funds_out,40,80,44,44,44,44,48,48,48,48,52,52,52,56,56,56,60,60,64,64,64,68,68,72,72,76,76,76,80,80,84,88,88,92,92,96,48,50,52,52,54,56,56,58,60,60
28,net_funds_in,4380,1416,1906,1526,1562,1598,1634,1674,1714,1756,1796,1840,1888,1932,1982,2032,2082,2136,2190,2248,2306,2366,2428,2492,2560,2628,2698,2774,2846,2926,3006,3088,3176,3264,3356,3470,2586,2660,2737,2817,2898,2982,3070,3160,3253,3369
29,NON_REGISTERED_ASSET,10,2200,2941,3938,4760,5612,6495,7409,8357,9339,10357,11410,12501,13633,14803,16016,17272,18572,19919,21313,22757,24251,25798,27399,29056,30772,32548,34385,36288,38255,40292,42399,44579,46836,49171,51587,54096,111108,114105,117186,120352,123606,126951,130390,133926,141309
30,NON_REGISTERED_BOOK_VALUE,10,2200,2908,3861,4624,5405,6204,7021,7858,8715,9593,10491,11411,12355,13321,14312,15328,16369,17437,18532,19656,20809,21992,23206,24452,25732,27046,28395,29782,31205,32668,34171,35715,37303,38935,40613,42348,43641,44971,46340,47748,49197,50688,52223,53803,57114
31,SPOUSE_NON_REGISTERED_ASSET,10,2200,2941,3938,4760,5612,6495,7409,8357,9339,10357,11410,12501,13633,14803,16016,17272,18572,19919,21313,22757,24251,25798,27399,29056,30772,32548,34385,36288,38255,40292,42399,44579,46836,49171,51587,54096,1293,2642,4050,5520,7052,8649,10314,12049,15749
32,SPOUSE_NON_REGISTERED_BOOK_VALUE,10,2200,2908,3861,4624,5405,6204,7021,7858,8715,9593,10491,11411,12355,13321,14312,15328,16369,17437,18532,19656,20809,21992,23206,24452,25732,27046,28395,29782,31205,32668,34171,35715,37303,38935,40613,42348,43641,44971,46340,47748,49197,50688,52223,53803,57114
33,TFSA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20
34,SPOUSE_TFSA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
35,HOME,3000,3075,3152,3231,3312,3395,3480,3567,3656,3747,3841,3937,4035,4136,4239,4345,4454,4565,4679,4796,4916,5039,5165,5294,5426,5562,5701,5844,5990,6140,6294,6451,6612,6777,6946,7120,7298,7480,7667,7859,8055,8256,8462,8674,8891,9341
36,total_assets,3040,7495,9054,11127,12852,14639,16490,18405,20390,22445,24575,26777,29057,31422,33865,36397,39018,41729,44537,47442,50450,53561,56781,60112,63558,67126,70817,74634,78586,82670,86898,91269,95790,100469,105308,110314,115510,119901,124434,129115,133947,138934,144082,149398,154886,166419
