Sr No,,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
21,total_funds_in,114140,12160,12531,16702,22344,22631,17008,74623,75956,93503,95214,17947,18146,18349,18555,18768,18982,19202,19426,19654,19888,20125,20368,20616,20867,21125,21387,21656,21928,22208,22491,22781,23077,23378,23685,224000,10120,10242,10367,10494,10624,10757,10892,11030,11170,111314
22,TAX,823,0,0,0,7,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,SPOUSE_TAX,3028,0,0,0,0,0,0,11438,11813,16949,17363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,69,106,143,182,221,0,0,0,0,0,0,0,0,0,0
24,CORE_NEEDS,121200,123624,126096,128618,131191,133815,136490,139220,142005,144845,147742,150697,153711,156785,159920,163119,166381,169709,173104,176565,180097,183699,187373,191120,194942,198842,202818,206874,211012,215232,219537,223928,228406,232975,237634,242387,2448,2497,2547,2598,2650,2703,2757,2812,2868,2925
25,HEALTH_CARE_EXPENSES,121200,123624,126096,128618,131191,133815,136490,139220,142005,144845,147742,150697,153711,156785,159920,163119,166381,169709,173104,176565,180097,183699,187373,191120,194942,198842,202818,206874,211012,215232,219537,223928,228406,232975,237634,242387,2448,2497,2547,2598,2650,2703,2757,2812,2868,2925
26,total_funds_out,246251,247248,252192,257236,262389,267673,272980,289878,295823,306639,312847,301394,307422,313570,319840,326238,332762,339418,346208,353130,360194,367398,374746,382240,389884,397684,405636,413748,422024,430464,439106,447925,456918,466093,475450,484995,4896,4994,5094,5196,5300,5406,5514,5624,5736,5850
27,net_funds_in,-132111,-235088,-239661,-240534,-240045,-245042,-255972,-215255,-219867,-213136,-217633,-283447,-289276,-295221,-301285,-307470,-313780,-320216,-326782,-333476,-340306,-347273,-354378,-361624,-369017,-376559,-384249,-392092,-400096,-408256,-416615,-425144,-433841,-442715,-451765,-260995,5224,5248,5273,5298,5324,5351,5378,5406,5434,105464
28,NON_REGISTERED_ASSET,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,REGULAR_BOOK_VALUE,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,SPOUSE_NON_REGISTERED_ASSET,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,SPOUSE_LIRA,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,SPOUSE_LIF,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,TFSA,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,HOME,1000000,1020000,1040400,1061208,1082432,1104081,1126163,1148686,1171660,1195093,1218995,1243375,1268243,1293608,1319480,1345870,1372787,1400243,1428248,1456813,1485949,1515668,1545981,1576901,1608439,1640608,1673420,1706888,1741026,1775847,1811364,1847591,1884543,1922234,1960679,1999893,2039891,2080689,2122303,2164749,2208044,2252205,2297249,2343194,2390058,2486616
35,CLEARING,0,-132111,-367199,-606872,-847406,-1087451,-1332494,-1588466,-1803721,-2023588,-2236724,-2454357,-2737804,-3027080,-3322301,-3623586,-3931056,-4244836,-4565052,-4891834,-5225310,-5565616,-5912889,-6267267,-6628891,-6997908,-7374467,-7758716,-8150808,-8550904,-8959160,-9375775,-9800919,-10234759,-10677475,-11129239,-11390235,-11385011,-11379763,-11374490,-11369192,-11363868,-11358517,-11353139,-11347733,-11236835
36,total_assets,1122000,887889,673201,454336,235026,16630,-206331,-439780,-632061,-828495,-1017729,-1210982,-1469561,-1733472,-2002821,-2277716,-2558269,-2844593,-3136804,-3435021,-3739361,-4049948,-4366908,-4690366,-5020452,-5357300,-5701047,-6051828,-6409782,-6775057,-7147796,-7528184,-7916376,-8312525,-8716796,-9129346,-9350344,-9304322,-9257460,-9209741,-9161148,-9111663,-9061268,-9009945,-8957675,-8750219
